categoria_id,categoria,familia,linha
0,Queijos — Linha Básica,Queijos,Linha Básica
1,Queijos — Linha Premium,Queijos,Linha Premium
2,Queijos — Linha Food Service,Queijos,Linha Food Service
3,Queijos — Linha Econômica,Queijos,Linha Econômica
4,Queijos — Linha Artesanal,Queijos,Linha Artesanal
5,Queijos — Linha Tradicional,Queijos,Linha Tradicional
6,Queijos — Linha Leve,Queijos,Linha Leve
7,Queijos — Linha Profissional,Queijos,Linha Profissional
8,Frios e Embutidos — Linha Básica,Frios e Embutidos,Linha Básica
9,Frios e Embutidos — Linha Premium,Frios e Embutidos,Linha Premium
10,Frios e Embutidos — Linha Food Service,Frios e Embutidos,Linha Food Service
11,Frios e Embutidos — Linha Econômica,Frios e Embutidos,Linha Econômica
12,Frios e Embutidos — Linha Artesanal,Frios e Embutidos,Linha Artesanal
13,Frios e Embutidos — Linha Tradicional,Frios e Embutidos,Linha Tradicional
14,Frios e Embutidos — Linha Leve,Frios e Embutidos,Linha Leve
15,Frios e Embutidos — Linha Profissional,Frios e Embutidos,Linha Profissional
16,Leites e Cremes — Linha Básica,Leites e Cremes,Linha Básica
17,Leites e Cremes — Linha Premium,Leites e Cremes,Linha Premium
18,Leites e Cremes — Linha Food Service,Leites e Cremes,Linha Food Service
19,Leites e Cremes — Linha Econômica,Leites e Cremes,Linha Econômica
20,Leites e Cremes — Linha Artesanal,Leites e Cremes,Linha Artesanal
21,Leites e Cremes — Linha Tradicional,Leites e Cremes,Linha Tradicional
22,Leites e Cremes — Linha Leve,Leites e Cremes,Linha Leve
23,Leites e Cremes — Linha Profissional,Leites e Cremes,Linha Profissional
24,Manteigas e Margarinas — Linha Básica,Manteigas e Margarinas,Linha Básica
25,Manteigas e Margarinas — Linha Premium,Manteigas e Margarinas,Linha Premium
26,Manteigas e Margarinas — Linha Food Service,Manteigas e Margarinas,Linha Food Service
27,Manteigas e Margarinas — Linha Econômica,Manteigas e Margarinas,Linha Econômica
28,Manteigas e Margarinas — Linha Artesanal,Manteigas e Margarinas,Linha Artesanal
29,Manteigas e Margarinas — Linha Tradicional,Manteigas e Margarinas,Linha Tradicional
30,Manteigas e Margarinas — Linha Leve,Manteigas e Margarinas,Linha Leve
31,Manteigas e Margarinas — Linha Profissional,Manteigas e Margarinas,Linha Profissional
32,Congelados Salgados — Linha Básica,Congelados Salgados,Linha Básica
33,Congelados Salgados — Linha Premium,Congelados Salgados,Linha Premium
34,Congelados Salgados — Linha Food Service,Congelados Salgados,Linha Food Service
35,Congelados Salgados — Linha Econômica,Congelados Salgados,Linha Econômica
36,Congelados Salgados — Linha Artesanal,Congelados Salgados,Linha Artesanal
37,Congelados Salgados — Linha Tradicional,Congelados Salgados,Linha Tradicional
38,Congelados Salgados — Linha Leve,Congelados Salgados,Linha Leve
39,Congelados Salgados — Linha Profissional,Congelados Salgados,Linha Profissional
40,Congelados Doces — Linha Básica,Congelados Doces,Linha Básica
41,Congelados Doces — Linha Premium,Congelados Doces,Linha Premium
42,Congelados Doces — Linha Food Service,Congelados Doces,Linha Food Service
43,Congelados Doces — Linha Econômica,Congelados Doces,Linha Econômica
44,Congelados Doces — Linha Artesanal,Congelados Doces,Linha Artesanal
45,Congelados Doces — Linha Tradicional,Congelados Doces,Linha Tradicional
46,Congelados Doces — Linha Leve,Congelados Doces,Linha Leve
47,Congelados Doces — Linha Profissional,Congelados Doces,Linha Profissional
48,Massas Frescas — Linha Básica,Massas Frescas,Linha Básica
49,Massas Frescas — Linha Premium,Massas Frescas,Linha Premium
50,Massas Frescas — Linha Food Service,Massas Frescas,Linha Food Service
