indice,mes,ano,mes_civil
0,2021-07,2021,7
1,2021-08,2021,8
2,2021-09,2021,9
3,2021-10,2021,10
4,2021-11,2021,11
5,2021-12,2021,12
6,2022-01,2022,1
7,2022-02,2022,2
8,2022-03,2022,3
9,2022-04,2022,4
10,2022-05,2022,5
11,2022-06,2022,6
12,2022-07,2022,7
13,2022-08,2022,8
14,2022-09,2022,9
15,2022-10,2022,10
16,2022-11,2022,11
17,2022-12,2022,12
18,2023-01,2023,1
19,2023-02,2023,2
20,2023-03,2023,3
21,2023-04,2023,4
22,2023-05,2023,5
23,2023-06,2023,6
24,2023-07,2023,7
25,2023-08,2023,8
26,2023-09,2023,9
27,2023-10,2023,10
28,2023-11,2023,11
29,2023-12,2023,12
30,2024-01,2024,1
31,2024-02,2024,2
32,2024-03,2024,3
33,2024-04,2024,4
34,2024-05,2024,5
35,2024-06,2024,6
36,2024-07,2024,7
37,2024-08,2024,8
38,2024-09,2024,9
39,2024-10,2024,10
40,2024-11,2024,11
41,2024-12,2024,12
42,2025-01,2025,1
43,2025-02,2025,2
44,2025-03,2025,3
45,2025-04,2025,4
46,2025-05,2025,5
47,2025-06,2025,6
48,2025-07,2025,7
49,2025-08,2025,8
50,2025-09,2025,9
51,2025-10,2025,10
52,2025-11,2025,11
53,2025-12,2025,12
54,2026-01,2026,1
55,2026-02,2026,2
56,2026-03,2026,3
57,2026-04,2026,4
58,2026-05,2026,5
59,2026-06,2026,6
